,r2_train,r2_test,mae,rmse,mape,model
LinearRegression,0.994776199063301,0.9158137249368691,122533.89546571342,1333749.9868461755,66.38077563987967,LinearRegression()
Ridge,0.9946687730701779,0.91647391344524,121075.83390573456,1328510.0621249937,67.9076256219258,Ridge()
Lasso,0.9945591020188067,0.915942132985336,119764.57197299495,1332732.4243672404,69.64991027091445,Lasso(alpha=0.001)
RandomForest,0.9980454139380458,0.916911227487315,79491.95299308433,1325027.6856930142,10.057650252410362,RandomForestRegressor(random_state=42)
GradientBoosting,0.999735774578863,0.9254710286748851,90657.58706561393,1254920.8779158923,20.70604021536165,GradientBoostingRegressor(random_state=42)
