id_centre_desservi,annee,production,distribution,cons_pop_branchee,cons_bf,cons_administrative,cons_industrielle,cons_autres,nbre_abonnes_particuliers,nbre_bf,abon_administratifs,abon_industrielle,autres_abonnes,taux_branchement,rend_distribution,rend_adduction,organisme_distributeur,dot_pop_branchee,dot_bf,dot_administrative,dot_industrielle,dot_globale_nette,dot_globale_brute,dr,kp,regie,cons_totale_calc,production_implied,lib_centre_uniformise,milieu,code_commune,lib_commune,lib_province,id_province,code_region_12,libelle_region,srm,id_dr_admin,type_centre,sa_centre,population_2024,menages_2024,mappable_on_map,id_dr,dr_volume_produit_traite_total,dr_debit_exploitable_total,dr_taux_utilisation_mean,dr_n_installations_actives
01.051.11.01.3,2021,443605.314457611,401488.0,157375.0,5081.0,36977.0,25258.0,7520.0,1943.0,18.0,41.0,22.0,0.0,0.942915936471951,0.578375941497629,0.905056785649408,ONEE,56.5274828409794,30.1461040480495,12.5235816885548,8.55452379288523,78.6465485972631,150.242783164857,DR9,1.5,,232211.0,443605.3144576107,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,139331058.0,17106.36,10.77263986013986,139.0
01.051.11.01.3,2022,537488.209520219,418751.0,174760.0,5818.0,48262.0,25579.0,0.0,2021.0,17.0,41.0,24.0,0.0,0.963456803968912,0.607566310289408,0.779088717822838,ONEE,60.985382995813,53.5282637661629,16.2263665715961,8.60002135292482,85.5392639504977,180.711133305415,DR9,1.5,,254419.0,537488.2095202187,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,136328721.0,19026.36,12.922317880794703,147.0
01.051.11.01.3,2023,755289.188237318,570175.0,189343.0,3014.0,59478.0,27440.0,6075.0,2111.0,15.0,43.0,25.0,0.0,0.977505431017249,0.500460384969527,0.754909521915262,ONEE,64.6494940649542,44.7198797947984,19.8514124249946,9.15839061403969,95.2385846106497,252.085765759414,DR9,1.5,,285350.0,755289.188237318,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,145098537.0,19206.36,8.774057734204794,149.0
01.227.03.05.3,2004,,,,,,,,,,,,,,,,,,,,,,,DR9,,,,,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,
01.227.03.05.3,2012,,,,,,,,,,,,,,,0.964906483378494,ONEE,,,,,,,DR9,1.5,,,,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,114062951.0,16341.84,0.0,136.0
01.227.03.05.3,2013,72030.0,69535.0,35091.0,175.0,5577.0,320.0,,426.0,2.0,5.0,1.0,,0.135276544529406,0.591975264255411,0.965361654866028,ONEE,44.4926516077318,0.0347116977022603,0.956567651314065,0.0548864350762957,7.06028227201737,12.3545934954549,DR9,1.5,,41163.0,72030.0,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,116481140.0,16341.84,0.0,136.0
01.227.03.05.3,2014,94937.0,92611.0,52650.0,2191.0,10057.0,4563.0,,450.0,2.0,6.0,1.0,,0.140274314214464,0.750029694096814,0.975499541801405,ONEE,63.9461357017087,0.434186742909342,1.71341487827463,0.777400028792594,11.8340967345962,16.1744524509056,DR9,1.5,,69461.0,94937.00000000001,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,119460376.0,16341.84,0.9508884803921568,136.0
01.227.03.05.3,2015,128867.577222817,115663.071801621,51995.0,7783.0,9422.0,1375.0,12878.0,496.0,30.0,13.0,1.0,,0.151413812720561,0.72151810167323,0.89753430842915,ONEE,58.0951728711346,1.55165452905809,1.59399539054698,0.232619790066026,14.118414065731,21.8015627344648,DR9,1.5,,83453.0,128867.57722281684,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,124695764.0,16341.84,8.909136029411766,136.0
01.227.03.05.3,2016,170002.628376879,163675.0,57995.0,16108.0,2194.0,3272.0,38841.0,552.0,44.0,13.0,1.0,,0.16498943024622,0.723445853062471,0.962779232078395,ONEE,59.051137649217,3.24073475702123,0.368578893734996,0.549676454102509,19.892172655953,28.5594260251557,DR9,1.5,,118410.0,170002.62837687865,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,126340269.0,16341.84,12.005226715686273,136.0
01.227.03.05.3,2017,248164.547013825,244330.662380807,79947.0,19999.0,16072.0,1234.0,50937.0,571.0,81.0,20.0,1.0,,0.167070202761306,0.688366324394706,0.984551038094879,ONEE,79.8264633294806,4.00537883132381,2.68110387522494,0.205853794302363,28.0570047082011,41.3983902869717,DR9,1.5,,168189.0,248164.5470138252,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,133748014.0,16341.84,13.14908088235294,136.0
