id_centre_desservi,annee,type_consommation,consommation,dotation
01.227.03.05.3,2019,Industrielle,1195.0,0.196567347493235
01.227.03.05.3,2019,Population branchée,68549.0,60.4210355413656
01.227.03.05.3,2020,Administrative,44409.0,7.25377939545136
01.227.03.05.3,2020,Autres,0.0,
01.227.03.05.3,2020,Bornes Fontaines,81100.0,17.9113730821284
01.227.03.05.3,2020,Industrielle,908.0,0.148312992660718
01.227.03.05.3,2020,Population branchée,89363.0,56.0502075688561
01.227.03.05.3,2021,Administrative,38129.0,6.18441525310239
01.227.03.05.3,2021,Autres,0.0,
01.227.03.05.3,2021,Bornes Fontaines,84298.0,19.0872928010059
01.227.03.05.3,2021,Industrielle,707.0,0.114673387289029
01.227.03.05.3,2021,Population branchée,99358.0,56.8120280539438
01.227.03.05.3,2022,Administrative,30057.0,4.8410407273284
01.227.03.05.3,2022,Autres,0.0,
01.227.03.05.3,2022,Bornes Fontaines,98527.0,22.2754797552882
01.227.03.05.3,2022,Industrielle,647.0,0.104207118161542
01.227.03.05.3,2022,Population branchée,98157.0,54.9691508150473
01.227.03.05.3,2023,Administrative,24819.0,3.96942190274181
01.227.03.05.3,2023,Autres,0.0,
01.227.03.05.3,2023,Bornes Fontaines,74891.0,16.8185125232066
01.227.03.05.3,2023,Industrielle,702.0,0.112274232472088
01.227.03.05.3,2023,Population branchée,97428.0,54.1369847381845
01.405.07.15.3,2004,Administrative,,
01.405.07.15.3,2004,Autres,,
01.405.07.15.3,2004,Bornes Fontaines,,
01.405.07.15.3,2004,Industrielle,,
01.405.07.15.3,2004,Population branchée,,
01.405.07.15.3,2012,Administrative,9024.0,5.51774152223213
01.405.07.15.3,2012,Autres,,
01.405.07.15.3,2012,Bornes Fontaines,2860.0,8.29378181614926
01.405.07.15.3,2012,Industrielle,0.0,0.0
01.405.07.15.3,2012,Population branchée,64509.0,49.9831441897051
01.405.07.15.3,2013,Administrative,6212.0,3.82915107133683
01.405.07.15.3,2013,Autres,,
01.405.07.15.3,2013,Bornes Fontaines,2564.0,6.22840671461153
01.405.07.15.3,2013,Industrielle,0.0,0.0
01.405.07.15.3,2013,Population branchée,62496.0,51.6227328358464
01.405.07.15.3,2014,Administrative,4706.0,2.92436626276835
01.405.07.15.3,2014,Autres,,
01.405.07.15.3,2014,Bornes Fontaines,4388.0,12.116490211142
01.405.07.15.3,2014,Industrielle,1051.0,0.653104322602962
01.405.07.15.3,2014,Population branchée,70215.0,56.3032328678048
01.405.07.15.3,2015,Administrative,8191.0,5.12559381370067
01.405.07.15.3,2015,Autres,,
01.405.07.15.3,2015,Bornes Fontaines,4029.0,16.8154871456943
01.405.07.15.3,2015,Industrielle,0.0,0.0
01.405.07.15.3,2015,Population branchée,68305.0,50.2812677747108
01.405.07.15.3,2016,Administrative,0.0,0.0
01.405.07.15.3,2016,Autres,2600.0,
01.405.07.15.3,2016,Bornes Fontaines,0.0,0.0
01.405.07.15.3,2016,Industrielle,0.0,0.0
01.405.07.15.3,2016,Population branchée,89337.0,66.6268505085352
01.405.07.15.3,2017,Administrative,10011.0,6.35242519734528
01.405.07.15.3,2017,Autres,,
01.405.07.15.3,2017,Bornes Fontaines,3714.0,15.2174594311562
01.405.07.15.3,2017,Industrielle,2746.0,1.7424592540116
