id_oper,pop_1994,pop_2004,pop_2014,pop_2024
6S2E39,14868.0,15493.0,13996,14561
6S2F49,6008.0,5195.0,4265,3783
6S2F39,5901.0,5400.0,4525,4088
6S2F29,3787.0,3150.0,2735,2366
6S3E25,,5266.0,5387,4602
6S3C35,,16470.0,37737,44626
6S3B39,9061.0,10496.0,10697,14691
6S3F49,10448.0,9623.0,8930,8199
6S3F59,8835.0,7331.0,6283,5366
6S3A39,8483.0,8113.0,8788,7465
6S3F39,11725.0,11815.0,11131,12706
6S3F69,9502.0,9001.0,8417,7731
6S3E39,18548.0,22173.0,23218,26052
6S1F15,10265.0,9210.0,8272,7692
6S1F25,9400.0,7435.0,5646,4343
6S1E25,7112.0,7699.0,8176,8009
6S1C49,14766.0,16494.0,14196,18051
6S1A39,12706.0,14202.0,11931,11024
6S1F19,10265.0,9210.0,8272,7692
6S1C29,5727.0,5082.0,4490,4426
6S1C59,7509.0,7104.0,6745,6239
6S1C39,2311.0,1922.0,1428,1335
6S1E59,2186.0,2471.0,3215,933
6S1A29,5800.0,6732.0,7303,8222
6S1D39,10139.0,23896.0,6710,10256
6S1F29,9400.0,7435.0,5646,4343
6S1E29,7112.0,7699.0,8176,8009
6S1F39,6435.0,6378.0,6469,5295
6S1E49,3487.0,2174.0,1310,2316
6S1E69,11580.0,13863.0,14984,13951
6S1D49,3840.0,3526.0,3452,3600
6S1E79,10260.0,9759.0,9259,6779
6S1D19,3683.0,3436.0,4094,6062
6S1E39,7839.0,7452.0,6433,6092
NM5G25,3934.0,4437.0,5153,6365
NM5G39,7615.0,6742.0,7685,3140
NM5D69,9400.0,7566.0,5983,4939
NM5D99,9721.0,8084.0,6654,5583
NM5D89,8600.0,9461.0,9513,7752
NM5D39,10280.0,10298.0,9653,8401
NM5C29,8791.0,6769.0,4761,3306
NM5G29,3934.0,4437.0,5153,6365
NM5G69,5500.0,6325.0,4428,4408
NM5C49,11859.0,11524.0,8963,7721
NM5F39,8249.0,9673.0,9765,9357
NM5DA9,9231.0,8092.0,7131,6858
NM5D29,10592.0,10242.0,9988,8462
NM5D59,10066.0,9870.0,9176,8059
NM5C39,7436.0,5669.0,4231,3318
NM5F29,13444.0,15924.0,17351,16690
NM5D49,10280.0,10298.0,9653,8401
NM5D79,7122.0,6750.0,6691,5601
NM2C69,8580.0,10038.0,10574,8568
NM2D39,15836.0,19585.0,20904,16539
NM2D79,9143.0,10762.0,11547,11276
NM2D49,6544.0,7720.0,8104,6762
NM2D59,6220.0,7077.0,7284,6454
NM2C39,9105.0,10637.0,12034,11452
NM2D69,6210.0,7219.0,9236,8097
NM2C79,6517.0,8139.0,7363,6924
NM1A35,18985.0,20930.0,23223,25289
NM4C39,5654.0,6126.0,6583,8111
NM1B59,5565.0,6539.0,7669,8214
NM1D89,9809.0,10288.0,8193,7337
