centre_id,pop_2014
12.066.01.03,0.0
12.066.03.03,0.0
12.066.03.05,5822.0
12.066.03.07,5743.0
12.066.03.09,0.0
12.066.05.03,4625.0
12.391.01.01,106277.0
12.391.05.01,6244.0
12.391.05.03,2190.0
12.391.05.05,0.0
12.391.05.07,3146.0
12.391.09.01,5759.0
12.391.09.03,3149.0
11.121.01.01,42651.0
11.121.03.01,6393.0
11.121.03.03,950.0
11.121.03.05,572.0
11.321.01.01,17917.0
11.321.01.03,217732.0
11.321.03.01,558.0
11.321.03.03,509.0
11.321.03.05,1380.0
11.537.01.05,8027.0
11.537.03.03,1108.0
11.537.03.05,151.0
11.537.05.01,2280.0
11.537.05.07,1516.0
10.071.01.01,14570.0
10.071.01.03,12763.0
10.071.03.01,2391.0
10.071.03.03,3042.0
10.071.03.05,5022.0
10.071.05.01,4208.0
10.071.05.03,2128.0
11.221.01.01,57035.0
11.221.03.01,2945.0
11.221.03.03,5462.0
11.221.03.05,248.0
11.221.03.07,269.0
11.221.03.09,55.0
10.261.01.01,14228.0
10.261.01.03,118318.0
10.261.03.01,3005.0
10.261.03.03,1045.0
10.261.03.05,1472.0
10.261.03.07,11205.0
10.261.03.09,3630.0
10.261.03.11.Rur,3288.0
10.261.03.11.3,6700.0
10.261.03.13,5325.0
10.261.05.03,1460.0
10.261.05.05,3566.0
10.261.05.09,3943.0
10.261.05.21,930.0
10.261.07.01,2422.0
10.261.07.07,1158.0
10.261.07.11,546.0
10.261.07.13,2413.0
10.261.07.15,1172.0
10.261.07.17,1125.0
10.261.07.19,857.0
10.521.01.01,73209.0
10.521.01.03,9295.0
10.521.03.01,1275.0
10.521.03.03,1015.0
10.521.05.01,264.0
10.521.05.03,752.0
10.521.05.05,324.0
09.551.01.01,6870.0
09.551.01.03,6353.0
09.551.01.05,8986.0
09.551.01.07,18611.0
09.551.03.01,2401.0
09.551.03.03,6196.0
09.551.03.05,6198.0
09.551.03.07,2119.0
09.551.05.01,2801.0
09.551.05.03,6452.0
09.551.05.05,8418.0
09.551.05.07,2919.0
09.551.05.09,9434.0
09.551.05.11,4326.0
09.551.07.01,6511.0
09.551.07.03,3459.0
09.551.07.05,3370.0
09.551.07.07,4581.0
09.551.07.09,3916.0
09.551.07.11,3920.0
09.001.01.01,421844.0
09.001.05.01,9351.0
09.001.05.09.Rur,19847.0
09.001.05.09.3,50946.0
09.001.05.11,3179.0
09.001.07.03.Rur,1583.0
09.001.07.03.3,35365.0
09.001.07.05,4128.0
09.001.07.07,2948.0
09.001.07.13,5402.0
09.001.07.15,8866.0
09.001.07.21,4530.0
09.001.07.23,5260.0
09.001.07.25,18577.0
09.001.07.29,8773.0
09.163.01.03,5668.0
09.163.01.11,37933.0
09.163.03.05,3814.0
09.163.03.07,5817.0
09.163.03.09,4801.0
09.163.03.13,2684.0
09.163.03.15,2149.0
09.163.03.25,8128.0
09.163.03.33,2744.0
09.163.03.35,4877.0
09.163.03.37,5107.0
09.163.03.39,1368.0
09.163.05.03,10370.0
09.163.05.11.Rur,22949.0
09.163.05.11.3,4750.0
09.163.05.19,28806.0
09.163.05.21.Rur,7121.0
09.163.05.21.3,10458.0
09.163.05.31,9087.0
09.163.07.01.Rur,28086.0
09.163.07.01.3,48560.0
09.163.07.17,10748.0
09.163.07.23,56547.0
09.163.07.27.Rur,32880.0
09.163.07.27.3,6162.0
09.163.07.29,9488.0
09.273.01.05,171847.0
09.273.01.13,100336.0
09.273.01.15,130333.0
09.273.01.17,83235.0
09.273.05.19,14587.0
09.273.05.27.Rur,12825.0
09.273.05.27.3,27955.0
08.401.01.07,71067.0
08.401.01.09,7281.0
08.401.03.01,10078.0
08.401.03.03,8820.0
08.401.03.05,12017.0
08.401.03.07,14804.0
08.401.03.09,7488.0
08.401.03.11,14196.0
08.401.03.13,9678.0
08.401.03.15,14060.0
08.401.03.17,15285.0
08.401.07.01,8448.0
08.401.07.03,8374.0
08.401.07.05,21061.0
08.401.07.07.Rur,19723.0
08.401.07.07.3,4332.0
08.401.07.09.Rur,9112.0
08.401.07.09.3,31072.0
08.401.07.11,10606.0
10.473.01.01,4729.0
10.473.01.03,21618.0
10.473.05.01,3208.0
10.473.05.03,2465.0
10.473.05.05,2931.0
10.473.05.07.Rur,3498.0
10.473.05.07.3,4664.0
10.473.05.09,3944.0
10.473.05.11,4706.0
10.473.05.13,10577.0
10.473.05.15,3674.0
10.473.07.01,5112.0
10.473.07.03,5071.0
10.473.07.05,3650.0
10.473.07.07,5140.0
10.473.07.09,7222.0
10.473.07.11,4702.0
10.473.07.13,6064.0
10.473.07.15,6110.0
10.473.07.17,6606.0
09.541.01.01,14259.0
09.541.01.02,17409.0
09.541.01.03,12313.0
09.541.01.05,4108.0
09.541.01.07,24288.0
09.541.01.09,89387.0
09.541.01.11,6727.0
09.541.01.13,80149.0
09.541.03.01,4344.0
09.541.03.03,2086.0
09.541.03.05,3256.0
09.541.03.07,4748.0
09.541.03.09,2466.0
09.541.03.11,1164.0
09.541.03.13,1883.0
09.541.03.15,2146.0
09.541.03.17,3019.0
09.541.03.19,1701.0
09.541.03.21,1460.0
09.541.03.23,4743.0
09.541.03.25,2932.0
09.541.03.27,2338.0
09.541.03.29,1614.0
09.541.03.31,2131.0
09.541.04.09,7999.0
09.541.04.13,12011.0
09.541.04.17,6436.0
09.541.04.21,7880.0
09.541.04.23,11197.0
09.541.04.25,8767.0
09.541.04.29,11374.0
09.541.04.33,12331.0
09.541.04.35,7866.0
09.541.04.39,3463.0
09.541.04.47,8320.0
09.541.04.49,6635.0
09.541.04.53,5816.0
