centre_id,pop_1994,pop_2004
010660103,509.0,3726.0
010660303,391.0,222.0
010660305,672.0,5832.0
010660307,290.0,6036.0
010660309,392.0,833.0
010660503,253.0,3864.0
013910101,29831.0,58104.0
013910501,867.0,6597.0
013910503,436.0,2973.0
013910505,393.0,519.0
013910507,533.0,3005.0
013910901,1374.0,5345.0
013910903,810.0,2311.0
021210101,15167.0,36843.0
021210301,4716.0,6740.0
021210303,1294.0,1385.0
021210305,514.0,1161.0
023210101,4334.0,10229.0
023210103,136950.0,183691.0
023210105,4506.0,5615.0
023210301,1985.0,2519.0
023210303,1540.0,1745.0
023210305,918.0,1419.0
023210501,1334.0,1583.0
023210503,966.0,878.0
023210505,882.0,1089.0
023210507,563.0,1255.0
030710101,8323.0,12905.0
030710103,2759.0,12653.0
030710301,1394.0,2234.0
030710303,2081.0,2004.0
030710305,5463.0,4177.0
030710501,1193.0,7331.0
030710503,635.0,2231.0
032210101,28750.0,40347.0
032210301,1960.0,4398.0
032210303,2940.0,8769.0
032210305,2195.0,2000.0
032210307,1215.0,1820.0
032210309,2666.0,3092.0
032610101,8638.0,11982.0
032610103,72563.0,95749.0
032610301,3539.0,3481.0
032610303,2527.0,1309.0
032610305,1739.0,1768.0
032610307,12399.0,11962.0
032610309,5380.0,3343.0
0326103112,,4224.0
0326103113,,6983.0
032610313,5632.0,5433.0
032610501,2623.0,2396.0
032610503,2557.0,1819.0
032610505,3754.0,3715.0
032610507,1783.0,1102.0
032610509,3950.0,3404.0
032610511,1260.0,766.0
032610513,2891.0,2538.0
032610515,1460.0,1357.0
032610517,1201.0,1020.0
032610519,1406.0,1138.0
032610521,696.0,1196.0
035210101,45821.0,60698.0
035210103,7846.0,6407.0
035210301,1216.0,1023.0
035210303,916.0,771.0
035210501,604.0,390.0
035210503,883.0,316.0
035210505,793.0,541.0
035510101,6519.0,7102.0
035510103,7040.0,7089.0
035510105,9903.0,9630.0
035510107,12549.0,15239.0
035510301,3203.0,2776.0
035510303,6738.0,7012.0
035510305,7551.0,7217.0
035510307,2327.0,2231.0
035510501,2976.0,2923.0
035510503,6832.0,6725.0
035510505,7797.0,8490.0
035510507,3011.0,2934.0
035510509,10182.0,9927.0
035510511,4978.0,5066.0
035510701,5843.0,5916.0
035510703,4327.0,4002.0
035510705,3411.0,3988.0
035510707,5004.0,4751.0
035510709,4351.0,4110.0
035510711,4756.0,4490.0
040010101,254865.0,346106.0
040010501,9482.0,10020.0
0400105032,,5673.0
0400105033,,21810.0
040010505,5092.0,4873.0
040010507,3922.0,3803.0
0400105092,,20044.0
0400105093,,17071.0
040010511,4157.0,4279.0
040010513,6370.0,6351.0
040010515,8645.0,9353.0
040010521,5739.0,5703.0
040010523,5257.0,5348.0
040010525,16063.0,17442.0
040010529,9447.0,10078.0
041630103,3638.0,4767.0
041630111,13885.0,25928.0
041630305,5018.0,4555.0
041630307,7715.0,7366.0
041630309,7476.0,5886.0
041630313,4360.0,3831.0
041630315,3959.0,3151.0
041630325,9524.0,9068.0
041630333,4868.0,3536.0
041630335,7300.0,6552.0
041630337,7115.0,6526.0
041630339,2308.0,1951.0
041630503,12122.0,11414.0
041630511,18775.0,22406.0
041630519,16865.0,21542.0
0416305212,,7527.0
0416305213,,8999.0
041630531,7691.0,8571.0
041630701,25258.0,47458.0
041630717,12380.0,11748.0
041630723,27166.0,39386.0
041630727,16492.0,24639.0
041630729,10651.0,10438.0
042730105,82825.0,130370.0
042730113,72251.0,89367.0
042730115,92534.0,112753.0
0427305172,,9617.0
0427305173,,38220.0
042730519,11280.0,12902.0
0427305272,,11483.0
0427305273,,14902.0
044010103,9908.0,11179.0
044010105,10524.0,14190.0
044010107,39203.0,56616.0
044010109,3813.0,6185.0
044010111,30471.0,36391.0
044010301,9042.0,9233.0
044010303,8654.0,7593.0
044010305,10632.0,12040.0
044010307,13634.0,14014.0
044010309,7690.0,8191.0
044010311,15065.0,15361.0
044010313,9255.0,9633.0
044010315,14132.0,14211.0
044010317,13628.0,14660.0
044010501,4073.0,4557.0
044010503,6717.0,7591.0
044010505,3607.0,4059.0
044010507,4079.0,4471.0
044010509,11650.0,13082.0
044010511,12211.0,14864.0
044010513,3972.0,4466.0
044010515,17707.0,19182.0
044010517,13672.0,15738.0
044010519,4289.0,3936.0
044010521,5993.0,8107.0
044010523,7560.0,8902.0
044010525,15719.0,16387.0
044010527,11695.0,13636.0
044010529,9110.0,10445.0
044010531,5953.0,5665.0
044010533,13594.0,12844.0
044010701,9843.0,8815.0
044010703,8515.0,8140.0
044010705,20048.0,19968.0
0440107072,,20072.0
0440107073,,2808.0
0440107092,,9703.0
0440107093,,21168.0
044010711,11262.0,11877.0
045410101,4881.0,9984.0
045410103,6525.0,9222.0
045410105,4558.0,4624.0
045410107,9211.0,15369.0
045410109,47126.0,66183.0
045410111,4963.0,5844.0
045410113,57136.0,69489.0
045410301,5503.0,5098.0
045410303,3575.0,2988.0
045410305,4238.0,3873.0
045410307,6369.0,5943.0
045410309,3461.0,3103.0
045410311,3053.0,2366.0
045410313,2886.0,2357.0
045410315,3440.0,3027.0
045410317,4602.0,4042.0
045410319,2865.0,2503.0
045410321,2803.0,2329.0
045410323,5806.0,5630.0
045410325,4069.0,3612.0
045410327,2954.0,2808.0
045410329,2539.0,2172.0
045410331,3654.0,3000.0
0454104072,,12762.0
0454104073,,5756.0
045410409,6773.0,7301.0
045410413,12542.0,12811.0
045410417,6634.0,6431.0
045410421,5466.0,5405.0
045410423,8723.0,10034.0
045410425,6939.0,8251.0
045410429,9256.0,10519.0
045410433,7423.0,9736.0
045410435,8168.0,8417.0
045410437,7313.0,7467.0
045410439,4087.0,4014.0
045410447,7404.0,7554.0
045410449,6405.0,6559.0
045410453,5477.0,5662.0
045410459,4915.0,4773.0
045410461,4937.0,5513.0
045410465,7302.0,7412.0
045410467,5394.0,5391.0
045410469,9022.0,8484.0
045410501,8202.0,8286.0
045410503,5637.0,5327.0
045410505,5209.0,5512.0
045410507,6563.0,6465.0
045410509,6971.0,7664.0
045410511,16965.0,19989.0
045410513,6824.0,7398.0
045410515,9910.0,10624.0
045410517,15549.0,17322.0
045410519,8034.0,8881.0
045410521,9413.0,10651.0
045410523,8398.0,9832.0
045410525,12124.0,13753.0
045410527,10195.0,13727.0
045410529,10040.0,12074.0
045410531,4341.0,4369.0
045410533,6252.0,6180.0
045410701,8424.0,8756.0
045410703,6230.0,6339.0
045410705,7399.0,7447.0
045410707,7232.0,7275.0
045410709,7498.0,8296.0
045410711,4665.0,5045.0
045410713,8860.0,9323.0
045410715,6972.0,7507.0
045410717,7702.0,7818.0
045410719,6929.0,7308.0
045410721,5995.0,5986.0
045410723,8390.0,9119.0
045410725,8111.0,8645.0
045410901,10273.0,13854.0
045410903,8453.0,9553.0
045410905,4986.0,5285.0
045410911,5902.0,6855.0
045410915,6658.0,7685.0
045410919,5840.0,6023.0
045410927,9718.0,9320.0
045410931,5184.0,4994.0
045410941,3816.0,4543.0
045410943,7390.0,9085.0
045410945,5403.0,8414.0
045410951,8952.0,9328.0
045410955,5131.0,4982.0
045410957,5212.0,5676.0
045410963,2513.0,2817.0
045410971,7723.0,9511.0
045810101,3329.0,4194.0
045810103,19722.0,20051.0
045810105,3949.0,4931.0
045810107,43001.0,53682.0
045810301,5620.0,5026.0
045810303,7033.0,6619.0
045810305,8867.0,8228.0
045810307,8482.0,8170.0
045810309,3960.0,4256.0
045810311,4477.0,3619.0
045810313,10383.0,9867.0
045810315,7723.0,6250.0
045810317,3488.0,2734.0
045810501,4396.0,3921.0
045810503,2977.0,2781.0
045810505,4267.0,3549.0
045810507,6803.0,7026.0
045810509,7551.0,5028.0
045810511,6273.0,5471.0
045810513,11816.0,12268.0
045810515,5253.0,4534.0
045810701,5851.0,5842.0
045810703,8151.0,8093.0
