centre_id,annee,production,distribution,conso_pop_branchee,conso_bf,conso_admin,conso_industrielle,conso_autres,nb_abonnes,Nbre_BF,Abon_administratifs,Abon_industrielle,Autres_abonnes,taux_branchement,rendement_distribution,rendement_adduction,Organisme_distributeur,dotation_pb,dotation_bf,dotation_admin,dotation_industrielle,dotation_nette,dotation_brute,dr,Kp,REGIE
035510101,1994,211302.0,200818.99999999997,74928.0,10950.0,31776.0,2457.0,0.0,826.0,,,,,0.391799797400976,0.5981057569253906,0.9503885434117992,ONEE,53.63360130810965,5.049223381491649,8.91161165386174,0.6890681594139695,33.685252623268745,59.25986170960138,DR1,1.3,
035510101,1995,285094.0,217474.99999999997,72544.0,5821.0,24102.999999999996,2623.0,0.0,834.0,,,,,0.3925061085899378,0.4832325554661455,0.7628185791353027,ONEE,51.53409917868824,2.6717467794661083,6.720641220480981,0.7313712783189485,29.302531075034928,79.49278048839585,DR1,1.3,
035510101,1996,260983.0,225073.0,74621.0,5600.0,25326.000000000004,11360.0,0.0,927.0,,,,,0.43286702218619205,0.5194181443353935,0.8624048309660016,ONEE,47.78908985382231,2.737318425154822,7.02083550343982,3.1492020579276767,32.40878212906258,72.34931344050518,DR1,1.3,
035510101,1997,224834.0,215479.00000000003,80698.0,5686.0,26640.0,11005.0,0.0,1032.0,,,,,0.4653809878416706,0.5755966938773616,0.9583915244135673,ONEE,47.79240814158233,2.931347031827645,7.342416229778391,3.0331565543810513,34.18440475087027,61.96789829602083,DR1,1.3,
035510101,1998,174068.0,166903.00000000003,101347.99999999999,1419.0,25870.0,6998.0,0.0,1179.0,,,,,0.5130609755725251,0.8126576514502436,0.958837925408461,ONEE,54.12944380093901,0.7985372477409914,7.088980686887993,1.9176144896344094,37.167139368614336,47.69867376131501,DR1,1.3,
035510101,1999,288533.0,278087.00000000006,106413.0,702.0,26200.999999999996,4108.0,0.0,1256.0,,,,,0.5193788911235324,0.49417628296180693,0.9637961688957588,ONEE,55.81878014749451,0.39792774434522665,7.138185277007827,1.1191811426261653,37.43971503024785,78.6077635407389,DR1,1.3,
035510101,2000,207557.0,201631.0,98730.0,1075.0,28680.0,1576.0,0.0,1283.0,,,,,0.526390912325255,0.6450446607912474,0.9714488068337854,ONEE,50.80345960059083,0.6148100680887608,7.768401808782479,0.4268828887950205,35.228943781452514,56.21988055179445,DR1,1.3,
035510101,2001,189248.0,185591.00000000003,109393.0,476.0,33285.0,1253.0,0.0,1361.0,,,,,0.554019527545117,0.7780926876842088,0.9806761498140006,ONEE,53.17403025779028,0.2874261169969688,8.963625008597486,0.33743194038674024,38.88869450552913,50.96434146393441,DR1,1.3,
035510101,2002,175548.0,169826.0,103852.0,361.0,23298.0,1648.0,0.0,1439.0,,,,,0.5811805934799668,0.7605372557794449,0.9674049262879669,ONEE,47.843337012641406,0.23077996748052915,6.237870348575948,0.441240034958072,34.581384511619916,47.0017024616624,DR1,1.3,
035510101,2003,158456.0,154915.0,80313.0,271.0,30774.0,1546.0,0.0,995.0,,,,,0.5726159705772728,0.7288125746377045,0.9776531024385318,ONEE,37.33556086504584,0.16879177847199883,8.191892358547353,0.4115378431895174,30.05450753393873,42.18023316975302,DR1,1.3,
